309,嫁の尻たたき,よめのしりたたき,48262694,12766058,244
310,JA鳥取いなば鹿野支店,じぇいえーとっとりいなばしかのしてん,48262782,12765802,7
311,山陰合同銀行浜村支店鹿野出張所,さんいんごうどうぎんこうはまむらしてんしかのしゅっちょうじょ,48262983,12765938,0
312,千丈滝,せんじょうたき,48262873,12734602,59
313,鳥取市立気高中学校,とっとりしりつけたかちゅうがっこう,48263021,12785379,8
314,佐治川,さじがわ,48263094,12718742,0
315,気高町B＆G海洋センター,けたかちょうびーあんどじーかいようせんたー,48263149,12784954,0
317,気高町B＆G海洋センタープール,けたかちょうびーあんどじーかいようせんたーぷーる,48263162,12784991,0
318,正寿寺,しょうじゅじ,48263765,12771795,0
320,鳥取社会福祉専門学校,とっとりしゃかいふくしせんもんがっこう,48263605,12785349,115
323,鳥取市立鹿野幼稚園,とっとりしりつしかのようちえん,48263710,12764580,0
324,光輪寺,こうりんじ,48263577,12764128,0
325,幸盛寺,こうせいじ,48263846,12765368,0
327,鹿野城跡公園,しかのじょうせきこうえん,48263977,12763989,671
328,鳥取市安蔵公園スキー場,とっとりしあんぞうこうえんすきーじょう,48264413,12744929,12
329,城山公園,しろやまこうえん,48264136,12763685,161
330,鹿野郵便局,しかのゆうびんきょく,48263844,12765932,4
331,水谷川,みずたにがわ,48264259,12761652,0
333,城山神社例祭,しろやまじんじゃれいさい,48263932,12763603,528
335,鳥取市立鹿野中学校,とっとりしりつしかのちゅがっこう,48264490,12764340,12
338,高山,たかやま,48265115,12737372,52
339,野坂川,のさかがわ,48265199,12746575,1
341,三滝渓林間キャンプ場,みたけけいりんかんきゃんぷじょう,48265422,12733405,0
342,坂本石油店,さかもとせきゆてん,48265351,12765662,0
343,JA鳥取いなば瑞穂,じぇいえーとっとりいなばみずほ,48265552,12776405,5
344,鳥取市立幼児センターこじか園,とっとりしりつようじせんたーこじかえん,48265512,12765552,0
346,日光(交差点),にっこう(こうさてん),48265103,12784993,6
347,鳥取市立瑞穂小学校,とっとりしりつみずほしょうがっこう,48265809,12776290,5
350,浄徳寺,じょうとくじ,48265816,12765128,0
351,妙光寺,みょうこうじ,48265773,12765324,0
352,町立農業者トレーニングセンター,ちょうりつのうぎょうしゃとれーにんぐせんたー,48265775,12765457,1
353,妙行寺,みょうぎょうじ,48265973,12779823,0
355,雲竜寺,うんりゅうじ,48266281,12763269,0
356,三滝渓もみじ祭,みたきけいもみじまつり,48266378,12733800,415
357,三滝しゃくなげ祭,みたきしゃくなげまつり,48266324,12733803,115
360,ホンダプリモ気高本店,ほんだぷりもけたかほんてん,48266404,12784759,1
361,下坂本(交差点),しもさかもと(こうさてん),48266825,12784618,2
362,三滝渓キャンプ場,みたきけいきゃんぷじょう,48265402,12733454,6
